"x","y","observed","fitted","residuals","localR2"
-828308.4787,1356934.429,3.65,3.22015728248241,0.429842717517598,0.523365654654024
-755470.8441,1803317.13,6.536,6.40708194507045,0.128918054929555,0.38976478811082
-751580.1683,1770211.279,11.589,5.31412401972322,6.27487598027677,0.393423805974173
-814182.3189,2458983.9,18.814,8.47875635261153,10.3352436473885,0.53450076660924
-742818.0793,1826295.959,8.221,7.35246334787965,0.868536652120344,0.386314956477528
-741657.5579,2381714.589,5.478,5.24384683372237,0.234153166277622,0.488196509639908
-642119.9837,1922501.65,2.203,2.88873831040552,-0.685738310405518,0.363923623814219
-737680.3665,1864862.848,3.459,5.29751334303136,-1.83851334303137,0.382929092892528
-814508.3715,2392819.559,6.929,4.3794222197327,2.54957778026732,0.539556802387976
-683009.5661,1725972.558,1.665,1.90560352382805,-0.24060352382804,0.38655933771844
-783899.1085,1309447.709,3.243,1.91553989893946,1.32746010106054,0.531684851916103
-804504.209,2461867.31,5.862,7.11020385238127,-1.24820385238128,0.527174309008906
-565942.9738,1907399.81,0.708,3.35212760516492,-2.64412760516491,0.337001467852458
-763863.2732,2428371.25,4.778,7.7210468631501,-2.94304686315009,0.502093782885243
-685945.6524,2331732.249,4.701,4.53766546929274,0.163334530707267,0.446876738479833
-351532.2772,1596388.449,3.407,4.81737030832334,-1.41037030832337,0.41334837801183
-688764.7965,1423988.249,1.174,0.546676069857644,0.627323930142349,0.464543257697777
-570782.5959,1642738.279,4.569,4.40350535118936,0.165494648810642,0.356864824292735
-722566.3643,1876565.559,4.717,5.37698215987148,-0.659982159871489,0.380824934853124
-756299.9773,1666293.659,3.211,4.67756475378605,-1.46656475378606,0.410288326950926
-773952.1784,1293523.858,0.998,1.61398006462311,-0.615980064623116,0.535715661436984
-406104.2043,1822696.509,6.826,8.83947816683556,-2.01347816683556,0.320202573952606
-534858.6888,1882798.249,2.18,4.86466317146181,-2.6846631714618,0.32567249865846
-703541.1086,2020482.289,5.378,4.54751028162406,0.830489718375924,0.38403072943074
-715564.6084,1875277.679,2.23,4.54400777180579,-2.31400777180579,0.380064453372972
-488227.978,1763788.319,7.183,6.92342203019576,0.259577969804235,0.324953638359826
-759578.9902,1180353.079,1.082,1.5611703256047,-0.479170325604695,0.573779273962973
-692528.3119,2049143.079,2.126,5.09856799593832,-2.97256799593832,0.385597166276792
-683147.7226,2146084.17,6.817,5.7812442133281,1.03575578667191,0.402852056149771
-671757.452,2262652.339,7.292,7.57085031954624,-0.278850319546248,0.42576528865193
-220837.3197,1882612.91,4.287,8.95243256854968,-4.66543256854971,0.354911299964056
-227942.5404,1582605.85,1.249,5.10169379267534,-3.85269379267534,0.474500629209067
-314780.49,1785591.709,4.83,5.55114640680664,-0.721146406806637,0.372863852673763
-204767.4101,1860226.47,18.062,8.52590383903538,9.53609616096462,0.366262358597162
-743285.5814,1377922.169,3.047,2.47428727588313,0.572712724116864,0.500604127173247
-714245.8005,1078289.479,0.606,0.612350858201122,-0.00635085820112474,0.635910408135249
-835526.0617,2419958.17,6.123,7.556110143428,-1.433110143428,0.55338258929269
-181367.2997,1800151.47,14.082,7.75664421397374,6.32535578602627,0.395623424243281
-667704.9007,2205374.149,2.738,4.00001864662084,-1.26201864662084,0.409843167820976
-703071.7364,1976692.098,4.517,3.78015251996529,0.736847480034699,0.379196287819744
-702913.2035,1765152.45,1.049,2.85042309237151,-1.80142309237151,0.386976437427795
-172342.4398,1780551.089,8.647,8.71453740314993,-0.0675374031499132,0.404421109839993
-169866.1201,1731864.029,7.515,8.00701425546463,-0.492014255464621,0.427034321169689
-691320.1374,2416279.219,4.726,9.58509052438218,-4.85909052438217,0.452162535762015
-692546.0906,1798950.649,5.699,4.05795658841497,1.64104341158502,0.381949516930285
-705369.8398,1821323.9,2.397,5.68060301098295,-3.28360301098296,0.382267900256359
-682257.4858,1853222.179,3.067,4.9488834790548,-1.88188347905481,0.376048902431476
-695174.2886,1677616.649,2.359,2.42302254984194,-0.0640225498419261,0.394965202512066
-376075.0519,1690585,5.26,5.0798498447149,0.18015015528511,0.372675035271192
-706384.2284,1480275.458,4.971,4.36779957689958,0.603200423100407,0.446673391043154
-131518.53,1793353.449,5.571,8.43244590871031,-2.86144590871033,0.388499060027894
-760513.828,2304399.209,6.423,4.16097483707355,2.26202516292645,0.492242563586916
-706170.0301,2143212.999,6.309,3.36153969469229,2.94746030530772,0.412346963061154
-114548.5896,1640173.519,4.678,8.55292734547985,-3.87492734547986,0.449264884089137
