x,y,SOC,ELEV,Aspect,Slope,NDVI,Silt_Clay
-351532.2772,1596388.449,3.407,750.3631592,174.1729126,1.920883775,0.435223013,63.38000107
-688764.7965,1423988.249,1.174,1313.987915,197.0122223,1.252177596,0.301019162,18.98500061
-570782.5959,1642738.279,4.569,1317.916504,146.4872437,1.854966521,0.334431887,68.08333588
-722566.3643,1876565.559,4.717,1822.165527,156.6574097,2.714053154,0.396961272,51.07263184
-756299.9773,1666293.659,3.211,1817.157104,167.5313873,2.111491919,0.309722155,70.7427063
-773952.1784,1293523.858,0.998,1393.135132,139.5230713,1.394305468,0.265142441,25.94499969
-406104.2043,1822696.509,6.826,910.8092651,133.8178253,0.928151429,0.565285206,88.5
-534858.6888,1882798.249,2.18,1178.60022,145.5123901,2.825965643,0.41517055,55.82959366
-703541.1086,2020482.289,5.378,1635.208984,133.7167816,1.514538884,0.380571246,45.8639183
-715564.6084,1875277.679,2.23,1758.679443,170.4739227,1.79806757,0.348820806,49.21734619
-488227.978,1763788.319,7.183,1086.937012,130.6230621,0.883993447,0.446605504,87.1631546
-759578.9902,1180353.079,1.082,1157.901733,168.2654419,1.315730929,0.247802868,38.44200134
-692528.3119,2049143.079,2.126,1679.814697,133.3787994,1.701169372,0.408997059,46.52500153
-683147.7226,2146084.17,6.817,1304.060425,169.0549011,1.923714161,0.43072331,48.2319603
-671757.452,2262652.339,7.292,1292.975708,167.9779663,2.938093662,0.386142641,72.22758484
-220837.3197,1882612.91,4.287,598.574707,162.0473785,2.069401264,0.583163798,87.42795563
-227942.5404,1582605.85,1.249,474.014801,177.43927,1.79126668,0.531020045,49.72777939
-314780.49,1785591.709,4.83,699.0772095,158.0722504,1.628158092,0.444095701,74.51630402
-204767.4101,1860226.47,18.062,533.5730591,168.2296753,1.951879144,0.556147873,86.20330048
-743285.5814,1377922.169,3.047,1414.678345,161.1263123,2.880153179,0.266099393,44.5
-714245.8005,1078289.479,0.606,1125.764282,172.140686,1.311453462,0.280647784,13.82199955
-835526.0617,2419958.17,6.123,1382.457153,180.3018494,6.559945107,0.34973678,55.82400131
-181367.2997,1800151.47,14.082,446.2778015,147.8443146,2.601210117,0.53831166,79.70928192
-667704.9007,2205374.149,2.738,1478.554321,131.4870605,1.589724779,0.41806531,23.17979813
-703071.7364,1976692.098,4.517,1457.200317,167.3928833,1.479925156,0.393404335,20.90736771
-702913.2035,1765152.45,1.049,1728.271118,157.6222534,1.225230575,0.307262123,33.1622467
-172342.4398,1780551.089,8.647,441.8609924,169.3587494,2.483055353,0.586698115,78.99681091
-169866.1201,1731864.029,7.515,456.9073181,170.752182,1.891853809,0.610842884,68.09887695
-691320.1374,2416279.219,4.726,1275.943726,158.1450653,4.923660278,0.513353467,50.41249847
-692546.0906,1798950.649,5.699,1928.312378,122.3739777,2.369042397,0.378745168,31.89999962
-705369.8398,1821323.9,2.397,1909.595825,169.6696625,2.274754047,0.40374741,50.43125153
-682257.4858,1853222.179,3.067,1708.984131,135.8224487,2.598118782,0.383566409,53.00618744
-695174.2886,1677616.649,2.359,1423.714844,159.5315399,1.236762762,0.26537481,49.43500137
-376075.0519,1690585,5.26,799.4375,143.393692,1.709207773,0.437354654,73
-706384.2284,1480275.458,4.971,1732.86731,139.9875336,1.862757087,0.2944161,66.23999786
-131518.53,1793353.449,5.571,418.8719177,186.5762177,1.76723516,0.581634164,77.29374695
-760513.828,2304399.209,6.423,1484.407959,173.6422882,2.215788126,0.319043934,40.32551193
-706170.0301,2143212.999,6.309,1379.185181,135.9044342,1.852187276,0.335481733,31.89999962
-114548.5896,1640173.519,4.678,426.1737061,177.6400604,1.034561634,0.589075387,80.89090729
-725095.6104,1146413.839,0.408,1298.654541,208.2095642,1.716193557,0.275360823,39.19800186
-708552.0713,1244961.519,2.295,1331.444092,170.2262115,1.872875452,0.285669565,42.25050354
-732067.6466,1799837.709,6.384,2105.484619,148.6639557,1.603163719,0.384697109,33.97362518
-86549.84016,1763984.159,9.48,372.8765259,161.5170593,2.13647294,0.586991906,83.70537567
-83020.55971,1843762.409,11.327,423.2229919,164.3968201,1.652055025,0.62731725,75.28399658
-80834.23039,1624045.42,8.366,387.9332886,157.4149628,1.187462449,0.666455388,84.50115204
-74178.92034,1668609.829,12.587,439.6960144,177.9108734,1.192721605,0.663042009,83.34444427
-68323.04988,1703113.149,16.51,417.4611511,170.6186371,2.616127729,0.690591335,84.37551117
